relative_shift_time_hr,od600nm
-1.7919, 0.0405
-1.6618, 0.0414
-1.5317, 0.0425
-1.4146, 0.0432
-1.2846, 0.0441
-1.1545, 0.0449
-0.9073, 0.0465
-1.0374, 0.0456
-0.7902, 0.0473
-0.6602, 0.0483
-0.5431, 0.0491
-0.4260, 0.0500
-0.2959, 0.0508
-0.1789, 0.0516
-0.0488, 0.0524
0.0553, 0.0530
0.1854, 0.0532
0.3154, 0.0532
0.4325, 0.0532
0.5496, 0.0532
0.6927, 0.0531
0.8228, 0.0530
0.9398, 0.0529
1.0699, 0.0529
1.1870, 0.0528
1.3041, 0.0527
1.4341, 0.0527
1.5512, 0.0527
1.6813, 0.0527
1.7984, 0.0527
1.9154, 0.0527
2.0325, 0.0527
2.1496, 0.0527
2.2797, 0.0527
2.4098, 0.0529
2.5398, 0.0529
2.6569, 0.0530
2.7870, 0.0530
2.9041, 0.0532
3.0341, 0.0533
3.1512, 0.0535
3.2683, 0.0536
3.3984, 0.0539
3.5285, 0.0542
3.6455, 0.0545
3.7626, 0.0549
3.8797, 0.0552
4.0098, 0.0555
4.1268, 0.0559
4.2569, 0.0564
4.3870, 0.0569
4.5041, 0.0573
4.6211, 0.0578
4.7512, 0.0582
4.8683, 0.0587
4.9984, 0.0592
5.1154, 0.0597
5.2455, 0.0602
5.3756, 0.0606
5.4927, 0.0611
5.6098, 0.0615
5.7268, 0.0620
5.8569, 0.0624
5.9610, 0.0628
